爱不爱	abai
冰激凌	bjlk
不结盟	bjmg
比基尼	bjni
保健品	bjpb
编辑器	bjqi
报警器	bjqi
不久前	bjqm
不尽然	bjrj
北京市	bjui
百家姓	bjxk
不经意	bjyi
摆架子	bjzi
败家子	bjzi
伯克利	bkli
不考虑	bklv
不可能	bkng
不可逆	bkni
不靠谱	bkpu
不客气	bkqi
不开心	bkxb
不可以	bkyi
白萝卜	blbo
玻璃杯	blbw
不理睬	blcd
白兰地	bldi
便利店	bldm
别浪费	blfw
板蓝根	blgf
拨浪鼓	blgu
巴拉圭	blgv
博览会	blhv
玻璃窗	blil
碧螺春	bliy
白莲教	bljn
不了解	bljp
八路军	bljy
不离开	blkd
不聊了	blle
贝雷帽	blmc
爆冷门	blmf
舶来品	blpb
玻璃瓶	blpk
保龄球	blqq
不利索	blso
玻璃体	blti
柏拉图	bltu
不论是	blui
比利时	blui
避雷针	blvf
玻璃珠	blvu
芭蕾舞	blwu
波浪形	blxk
不理想	blxl
病理学	blxt
不利于	blyv
不明白	bmbd
白米饭	bmfj
闭门羹	bmgg
白茫茫	bmmh
本命年	bmnm
不买账	bmvh
北美洲	bmvz
保密性	bmxk
不满意	bmyi
兵马俑	bmys
并没有	bmyz
不能不	bnbu
本年度	bndu
不耐烦	bnfj
不能看	bnkj
别闹了	bnle
巴拿马	bnma
编年体	bnti
白内障	bnvh
白娘子	bnzi
不平等	bpdg
摆谱儿	bper
白平衡	bphg
不平衡	bphg
不平常	bpih
不排除	bpiu
被骗了	bple
不骗你	bpni
不匹配	bppw
变频器	bpqi
不怕死	bpsi
白皮松	bpss
白皮书	bpuu
不便宜	bpyi
不确定	bqdk
白求恩	bqen
版权法	bqfa
版权归	bqgv
搬迁户	bqhu
不清楚	bqiu
白切鸡	bqji
闭区间	bqjm
冰淇淋	bqlb
比起来	bqld
并且能	bqng
不求人	bqrf
包青天	bqtm
白鳍豚	bqty
版权页	bqye
标签页	bqye
不起眼	bqyj
不情愿	bqyr
不人道	brdc
不认得	brde
不入流	brlq
白日梦	brmg
不然呢	brne
哺乳期	brqi
不饶人	brrf
不认识	brui
比如说	bruo
不认账	brvh
包容性	brxk
必然性	brxk
不容易	bryi
波塞冬	bsds
变速杆	bsgj
变色龙	bsls
变速器	bsqi
办丧事	bsui
不算数	bsuu
波斯湾	bswj
不死心	bsxb
不停地	btde
拜天地	btdi
白天鹅	btee
白头发	btfa
不通风	btfg
本土化	bthx
不提倡	btih
半脱产	btij
不推荐	btjm
不痛快	btkk
半透明	btmk
趵突泉	btqr
扁桃体	btti
半桶水	btuv
白头翁	btwg
别太晚	btwj
扁桃腺	btxm
不同意	btyi
不同于	btyv
不舍得	bude
不舒服	bufu
不适合	buhe
办事处	buiu
不说了	bule
半衰期	buqi
保税区	buqu
不失为	buww
不适应	buyk
编者按	bvan
标准版	bvbj
不织布	bvbu
不知道	bvdc
不值得	bvde
辩证法	bvfa
补助费	bvfw
包装工	bvgs
标准化	bvhx
标准差	bvia
不支持	bvii
保证金	bvjb
不着急	bvji
标准库	bvku
备注栏	bvlj
板着脸	bvlm
不知名	bvmk
标准煤	bvmw
标志牌	bvpd
保质期	bvqi
不知情	bvqk
不值钱	bvqm
不正确	bvqt
不知趣	bvqu
班主任	bvrf
不折腾	bvtg
不中听	bvtk
拜占庭	bvtk
本质上	bvuh
不只是	bvui
保证书	bvuu
标志着	bvve
标志性	bvxk
不至于	bvyv
不知足	bvzu
保温杯	bwbw
保温层	bwcg
北温带	bwdd
不稳定	bwdk
鲍威尔	bwer
博物馆	bwgr
不外乎	bwhu
拜物教	bwjn
备忘录	bwlu
半文盲	bwmh
保温瓶	bwpk
不完全	bwqr
包围圈	bwqr
保卫战	bwvj
布娃娃	bwwa
博物院	bwyr
不晓得	bxde
保险单	bxdj
变戏法	bxfa
不相符	bxfu
保险费	bxfw
不相干	bxgj
百香果	bxgo
不习惯	bxgr
不稀罕	bxhj
不喜欢	bxhr
并行化	bxhx
不像话	bxhx
别瞎扯	bxie
不相称	bxif
变形虫	bxis
表现出	bxiu
保险金	bxjb
步行街	bxjp
必修课	bxke
不行了	bxle
表现力	bxli
不行吗	bxma
不像你	bxni
必需品	bxpb
保修期	bxqi
保险人	bxrf
丙烯酸	bxsr
本系统	bxts
半小时	bxui
八小时	bxui
便携式	bxui
剥削者	bxve
不希望	bxwh
表现为	bxww
不小心	bxxb
不相信	bxxb
不信邪	bxxp
不需要	bxyc
不屑于	bxyv
不一般	bybj
褒义词	byci
贬义词	byci
不由得	byde
比亚迪	bydi
不一定	bydk
八月份	byff
不应该	bygd
边缘化	byhx
表演唱	byih
不要紧	byjb
不要看	bykj
半月刊	bykj
不用了	byle
不要脸	bylm
比翼鸟	bynn
编译器	byqi
变压器	byqi
碧云寺	bysi
避孕套	bytc
病原体	byti
毕业生	byug
不要说	byuo
毕业证	byvg
不一致	byvi
本以为	byww
必要性	byxk
不影响	byxl
不用谢	byxp
不允许	byxu
避孕药	byyc
不一样	byyh
不愿意	byyi
病恹恹	byyj
不亚于	byyv
白羊座	byzo
布依族	byzu
半自动	bzds
不在乎	bzhu
不赞成	bzig
不在场	bzih
不自觉	bzjt
不在家	bzjx
不早了	bzle
不怎么	bzme
不足取	bzqu
不自然	bzrj
不再是	bzui
不早说	bzuo
不作为	bzww
不在线	bzxm
不在意	bzyi
不足以	bzyi
不在于	bzyv
不自在	bzzd
残奥会	cahv
蚕宝宝	cbbc
猜不到	cbdc
才不会	cbhv
错不了	cbln
擦边球	cbqq
藏不住	cbvu
错别字	cbzi
噌噌噌	cccg
擦擦汗	cchj
残次品	ccpb
测电笔	cdbi
磁带机	cdji
猜到了	cdle
次大陆	cdlu
踩过界	cgjp
错过了	cgle
村公所	cgso
参观团	cgtr
磁共振	cgvf
磁感应	cgyk
催化剂	chji
词汇量	chll
存活率	chlv
粗加工	cjgs
残疾人	cjrf
葱姜蒜	cjsr
餐巾纸	cjvi
刺激性	cjxk
才可能	ckng
才开始	ckui
参考书	ckuu
采矿业	ckye
从来不	clbu
擦了擦	clca
催泪弹	cldj
材料厂	clih
测力计	clji
村里人	clrf
草绿色	clse
策略性	clxk
参谋部	cmbu
草木灰	cmhv
藏猫猫	cmmc
催眠曲	cmqu
聪明人	cmrf
参谋长	cmvh
催眠药	cmyc
从没有	cmyz
才能够	cngz
擦屁股	cpgu
裁判长	cpvh
裁判员	cpyr
菜青虫	cqis
藏起来	cqld
凑热闹	crnc
粗饲料	csln
磁铁矿	ctkl
磁通量	ctll
醋坛子	ctzi
测试版	cubj
草珊瑚	cuhu
菜市场	cuih
藏书楼	culz
侧视图	cutu
财政局	cvjv
财政厅	cvtk
侧重于	cvyv
村委会	cwhv
财务科	cwke
错误率	cwlv
财务室	cwui
磁悬浮	cxfu
粗线条	cxtn
粗纤维	cxww
搓衣板	cybj
猜一猜	cycd
策源地	cydi
参与度	cydu
参议会	cyhv
曾用名	cymk
从业者	cyve
餐饮业	cyye
菜园子	cyzi
操作符	czfu
存在感	czgj
操作台	cztd
操作数	czuu
操纵性	czxk
操作员	czyr
冬奥会	dahv
德昂族	dazu
得不到	dbdc
动不动	dbds
对比度	dbdu
对不对	dbdv
大部分	dbff
大半个	dbge
打不过	dbgo
东北虎	dbhu
都不会	dbhv
打不出	dbiu
等不及	dbji
打不开	dbkd
打不了	dbln
大不了	dbln
道不明	dbmk
蛋白酶	dbmw
都不能	dbng
大半年	dbnm
蛋白尿	dbnn
对不起	dbqi
倒不如	dbru
打不死	dbsi
大白天	dbtm
打白条	dbtn
代表团	dbtr
大别山	dbuj
蛋白质	dbvi
对不住	dbvu
代表性	dbxk
电冰箱	dbxl
大本营	dbyk
代表作	dbzo
带不走	dbzz
电磁波	dcbo
低层次	dcci
打草稿	dcgc
电磁场	dcih
打错了	dcle
电磁炉	dclu
电磁线	dcxm
大草原	dcyr
党代表	ddbn
打点滴	dddi
端到端	dddr
打短工	ddgs
打电话	ddhx
电动车	ddie
电动机	ddji
地对空	ddks
得到了	ddle
大道理	ddli
担担面	ddmm
电灯泡	ddpc
对得起	ddqi
当地人	ddrf
打哆嗦	ddso
点点头	ddtz
大多数	dduu
东道主	ddvu
东帝汶	ddwf
大而全	deqr
德尔塔	deta
电饭煲	dfbc
多发病	dfbk
大幅度	dfdu
电饭锅	dfgo
东方红	dfhs
单方面	dfmm
多方面	dfmm
豆腐脑	dfnc
豆腐皮	dfpi
豆腐乳	dfru
电风扇	dfuj
地方税	dfuv
豆腐渣	dfva
地方志	dfvi
大范围	dfww
地方性	dfxk
丹凤眼	dfyj
大分子	dfzi
大锅饭	dgfj
顶呱呱	dggx
胆固醇	dgiy
大功率	dglv
大规模	dgmo
多功能	dgng
道个歉	dgqm
打过去	dgqu
打官司	dgsi
等高线	dgxm
等会儿	dher
待会儿	dher
大后方	dhfh
读后感	dhgj
打哈哈	dhha
电火花	dhhx
大合唱	dhih
打火机	dhji
德黑兰	dhlj
打呼噜	dhlu
大红袍	dhpc
动画片	dhpm
打哈欠	dhqm
导火索	dhso
导火线	dhxm
大胡子	dhzi
大肠癌	diai
低成本	dibf
蛋炒饭	difj
倒春寒	dihj
洞察力	dili
底朝天	ditm
打交道	djdc
大家好	djhc
大家伙	djho
多进程	djig
大姐姐	djjp
大奖赛	djsd
电吉他	djta
单晶体	djti
倒计时	djui
胆结石	djui
东京湾	djwj
对角线	djxm
都江堰	djyj
大舅子	djzi
端口号	dkhc
大客车	dkie
多亏了	dkle
抵抗力	dkli
都可能	dkng
得了吧	dlba
大老粗	dlcu
多伦多	dldo
代理费	dlfw
第六感	dlgj
度量衡	dlhg
独轮车	dlie
带来了	dlle
低利率	dllv
对立面	dlmm
代理人	dlrf
独联体	dlti
大冷天	dltm
大理石	dlui
顶梁柱	dlvu
独立性	dlxk
地理学	dlxt
冬令营	dlyk
大老远	dlyr
掉链子	dlzi
独龙族	dlzu
代名词	dmci
大满贯	dmgr
大明湖	dmhu
动脉瘤	dmlq
独木桥	dmqn
大忙人	dmrf
多媒体	dmti
多面手	dmuz
大拇指	dmvi
挡泥板	dnbj
堆内存	dncy
低能儿	dner
东南风	dnfg
多瑙河	dnhe
多年后	dnhz
低年级	dnji
多年来	dnld
打内战	dnvj
逗你玩	dnwj
东南亚	dnya
大年夜	dnye
动脑子	dnzi
低耦合	dohe
大排档	dpdh
电瓶车	dpie
得票率	dplv
大屏幕	dpmu
肚皮舞	dpwu
地平线	dpxm
大气层	dqcg
地球村	dqcy
多渠道	dqdc
盗窃犯	dqfj
电气化	dqhx
打起来	dqld
躲起来	dqld
当权派	dqpd
地球日	dqri
道琼斯	dqsi
大前提	dqti
大趋势	dqui
当权者	dqve
地区性	dqxk
大气压	dqya
兜圈子	dqzi
电热杯	drbw
大染缸	drgh
单人床	dril
地热能	drng
电热器	drqi
电热毯	drtj
大热天	drtm
大人物	drwu
第三方	dsfh
单色光	dsgl
大扫除	dsiu
第三者	dsve
大踏步	dtbu
大头菜	dtcd
呆头鹅	dtee
洞庭湖	dthu
大团结	dtjp
到头来	dtld
大提琴	dtqb
带头人	dtrf
断头台	dttd
地头蛇	dtue
大体上	dtuh
打头阵	dtvf
独特性	dtxk
打天下	dtxx
等同于	dtyv
大手笔	dubi
大使馆	dugr
董事会	duhv
到时候	duhz
电视剧	dujv
迪士尼	duni
短视频	dupb
打水漂	dupn
当事人	durf
低收入	duru
电视台	dutd
董事长	duvh
代数学	duxt
都知道	dvdc
地质队	dvdv
大丈夫	dvfu
动真格	dvge
对着干	dvgj
地中海	dvhd
打招呼	dvhu
大众化	dvhx
打折扣	dvkz
地址栏	dvlj
打照面	dvmm
豆制品	dvpb
等着瞧	dvqn
读者群	dvqy
大昭寺	dvsi
胆汁质	dvvi
动植物	dvwu
大中型	dvxk
大闸蟹	dvxp
党中央	dvyh
稻瘟病	dwbk
党委会	dwhv
端午节	dwjp
吊胃口	dwkz
都忘了	dwle
电位器	dwqi
单位制	dwvi
大无畏	dwww
等温线	dwxm
动物园	dwyr
动物油	dwyz
单行本	dxbf
大小便	dxbm
单行道	dxdc
店小二	dxer
东西方	dxfh
胆小鬼	dxgv
低消耗	dxhc
都喜欢	dxhr
大型化	dxhx
单线程	dxig
大学城	dxig
多线程	dxig
大小姐	dxjp
电信局	dxjv
掉下来	dxld
大熊猫	dxmc
刀削面	dxmm
掉下去	dxqu
单相思	dxsi
低血糖	dxth
大学生	dxug
地下室	dxui
定心丸	dxwj
短消息	dxxi
大猩猩	dxxk
大小写	dxxp
大西洋	dxyh
东乡族	dxzu
第一遍	dybm
第一步	dybu
第一次	dyci
独一份	dyff
第一个	dyge
单引号	dyhc
等一会	dyhv
多元化	dyhx
打圆场	dyih
打印机	dyji
等于零	dylk
独眼龙	dyls
第一轮	dyly
第一名	dymk
第一年	dynm
单眼皮	dypi
代言人	dyrf
钓鱼台	dytd
第一天	dytm
第一手	dyuz
第一种	dyvs
大洋洲	dyvz
打游戏	dyxi
等一下	dyxx
第一页	dyye
都一样	dyyh
第一眼	dyyj
电影院	dyyr
得益于	dyyv
电子表	dzbn
电子管	dzgr
大杂烩	dzhv
打字机	dzji
丁字裤	dzku
肚子里	dzli
动作片	dzpm
电子琴	dzqb
打砸抢	dzql
大自然	dzrj
大总统	dzts
党组织	dzvi
地藏王	dzwh
都在玩	dzwj
电子学	dzxt
打字员	dzyr
饿不饿	ebee
耳边风	ebfg
而不会	ebhv
饿扁了	eble
而不能	ebng
饿不死	ebsi
二百五	ebwu
二次元	ecyr
二等奖	edjl
鹅蛋脸	edlm
饿肚子	edzi
二房东	efds
恩格尔	eger
恩格斯	egsi
二锅头	egtz
耳刮子	egzi
恶狠狠	ehhf
二合一	ehyi
二季度	ejdu
二进制	ejvi
鄂伦春	eliy
俄罗斯	elsi
二郎腿	eltv
鹅卵石	elui
二流子	elzi
峨眉山	emuj
二年级	enji
耳旁风	epfg
阿房宫	epgs
二人转	ervr
饿死了	esle
二三十	esui
儿童节	etjp
儿童团	ettr
儿童学	etxt
恶势力	euli
二傻子	euzi
二指禅	evij
二维码	ewma
儿媳妇	exfu
二选一	exyi
二月份	eyff
二元酸	eysr
二义性	eyxk
恶作剧	ezjv
发案率	falv
烦不烦	fbfj
发布会	fbhv
发不出	fbiu
发报机	fbji
分辨率	fblv
方便面	fbmm
分不清	fbqk
分布区	fbqu
发包人	fbrf
副标题	fbti
分别是	fbui
封闭式	fbui
分布式	fbui
犯不着	fbvc
封闭型	fbxk
放不下	fbxx
反编译	fbyi
服兵役	fbyi
翻白眼	fbyj
诽谤罪	fbzv
分层次	fcci
发错了	fcle
犯错误	fcwu
辅导班	fdbj
肥嘟嘟	fddu
梵蒂冈	fdgh
发电厂	fdih
房地产	fdij
发动机	fdji
发电机	fdji
放大镜	fdjk
佛得角	fdjn
放大率	fdlv
防盗门	fdmf
反对派	fdpd
放大器	fdqi
防盗锁	fdso
反倒是	fdui
放得下	fdxx
辅导员	fdyr
富二代	fedd
伏尔加	fejx
凡尔赛	fesd
伏尔泰	fetd
防腐剂	ffji
分隔符	fgfu
腹股沟	fggz
房管局	fgjv
反过来	fgld
发改委	fgww
复合肥	fhfw
防护林	fhlb
肺活量	fhll
防火墙	fhql
返回值	fhvi
缝合线	fhxm
非常棒	fibh
非常大	fida
非常多	fido
肥肠粉	fiff
非常高	figc
非常好	fihc
非常差	fiia
富春江	fijl
放长假	fijx
妇产科	fike
非常快	fikk
非常冷	filg
非常慢	fimj
非常难	finj
副产品	fipb
非常强	fiql
非常热	fire
方程式	fiui
房产税	fiuv
房产证	fivg
放长线	fixm
方程组	fizu
反间计	fjji
伏击圈	fjqr
风景区	fjqu
福建省	fjug
附加值	fjvi
伏击战	fjvj
分界线	fjxm
发刊词	fkci
防空洞	fkds
浮夸风	fkfg
放空炮	fkpc
费口舌	fkue
方块字	fkzi
氟利昂	flah
菲律宾	flbb
反垄断	fldr
福利房	flfh
福利费	flfw
风凉话	flhx
分理处	fliu
法拉利	flli
飞利浦	flpu
费力气	flqi
发令枪	flql
发牢骚	flsc
珐琅质	flvi
法令纹	flwf
法兰西	flxi
福利院	flyr
负离子	flzi
父母官	fmgr
发明家	fmjx
发霉了	fmle
敷面膜	fmmo
非卖品	fmpb
父母亲	fmqb
发明人	fmrf
飞毛腿	fmtv
发明者	fmve
分泌物	fmwu
驸马爷	fmye
疯牛病	fnbk
妇女节	fnjp
服你了	fnle
放牛娃	fnwa
发泡剂	fpji
废品率	fplv
发脾气	fpqi
覆盆子	fpzi
夫妻店	fqdm
凤求凰	fqhl
反潜机	fqji
番茄酱	fqjl
放弃了	fqle
发起人	fqrf
肺气肿	fqvs
废弃物	fqwu
反倾销	fqxn
副热带	frdd
缝纫机	frji
发热量	frll
疯人院	fryr
粉碎机	fsji
烦死了	fsle
烦死人	fsrf
风嗖嗖	fssz
仿宋体	fsti
发散性	fsxk
反贪局	ftjv
伏特加	ftjx
繁体字	ftzi
分水岭	fulk
番石榴	fulq
放射性	fuxk
反证法	fvfa
反政府	fvfu
发展观	fvgr
法制化	fvhx
纺织厂	fvih
非主流	fvlq
负债率	fvlv
辅助码	fvma
纺织品	fvpb
发展史	fvui
发展中	fvvs
附着物	fvwu
辅助性	fvxk
服务部	fwbu
服务端	fwdr
服务费	fwfw
俯卧撑	fwig
蜂窝煤	fwmw
服务器	fwqi
防卫厅	fwtk
服务社	fwue
服务性	fwxk
服务员	fwyr
风向标	fxbn
发祥地	fxdi
方向感	fxgj
抚恤金	fxjb
法学家	fxjx
发现了	fxle
返修率	fxlv
方向盘	fxpj
分析器	fxqi
飞行器	fxqi
负心人	fxrf
法西斯	fxsi
芳香烃	fxtk
法新社	fxue
烦心事	fxui
副县长	fxvh
方向性	fxxk
非线性	fxxk
负效应	fxyk
飞行员	fxyr
风信子	fxzi
反义词	fyci
发源地	fydi
抚养费	fyfw
复印机	fyji
复印件	fyjm
反映了	fyle
发芽率	fylv
发言权	fyqr
发言人	fyrf
防疫站	fyvj
防御性	fyxk
法医学	fyxt
复杂度	fzdu
负罪感	fzgj
副总理	fzli
肥皂泡	fzpc
负责人	fzrf
副总统	fzts
分子式	fzui
复杂性	fzxk
副作用	fzys
公安部	gabu
公安局	gajv
谷氨酸	gasr
港澳台	gatd
干巴巴	gbba
怪不得	gbde
搞不定	gbdk
搞不懂	gbds
该不该	gbgd
敢不敢	gbgj
够不够	gbgz
搞不好	gbhc
高不成	gbig
赶不及	gbji
管不了	gbln
各部门	gbmf
搞不清	gbqk
过不去	gbqu
戈壁滩	gbtj
赶不上	gbuh
跟不上	gbuh
管不着	gbvc
管不住	gbvu
高标准	gbvy
胳膊肘	gbvz
官本位	gbww
鬼把戏	gbxi
根本性	gbxk
过把瘾	gbyb
个把月	gbyt
光膀子	gbzi
高层次	gcci
构词法	gcfa
搞错了	gcle
高材生	gcug
观测站	gcvj
高蛋白	gdbd
鬼地方	gdfh
管道符	gdfu
挂电话	gdhx
供电局	gdjv
过得去	gdqu
广东省	gdug
跟得上	gduh
够得着	gdvc
各单位	gdww
过渡性	gdxk
鬼点子	gdzi
共轭点	gedm
高尔夫	gefu
国防部	gfbu
规范化	gfhx
鼓风机	gfji
功夫片	gfpm
高峰期	gfqi
贵妇人	gfrf
规范性	gfxk
高风险	gfxm
高分子	gfzi
广告词	ggci
感光度	ggdu
骨骼肌	ggji
肝功能	ggng
观光者	ggve
高跟鞋	ggxp
归功于	ggyv
高个子	ggzi
高回报	ghbc
共和党	ghdh
观后感	ghgj
共和国	ghgo
各行业	ghye
古惑仔	ghzd
刮胡子	ghzi
共产党	gidh
国产化	gihx
歌唱家	gijx
观察力	gili
滚出去	giqu
观察所	giso
高产田	gitm
工程师	giui
过程中	givs
广场舞	giwu
工程学	gixt
观察员	giyr
割韭菜	gjcd
关键词	gjci
根据地	gjdi
公检法	gjfa
公交车	gjie
公积金	gjjb
攻击力	gjli
工具链	gjlm
管家婆	gjpo
工具箱	gjxl
关节炎	gjyj
关键字	gjzi
高科技	gkji
公开赛	gksd
刚开始	gkui
公开信	gkxb
高可用	gkys
孤零零	gllk
改良派	glpd
过滤器	glqi
过来人	glrf
过两天	gltm
橄榄石	glui
橄榄枝	glvi
规律性	glxk
管理员	glyr
鼓浪屿	glyv
仡佬族	glzu
灌木丛	gmcs
国民党	gmdh
高密度	gmdu
赶明儿	gmer
哥们儿	gmer
鬼门关	gmgr
规模化	gmhx
革命家	gmjx
购买力	gmli
根目录	gmlu
革命派	gmpd
公民权	gmqr
冠名权	gmqr
郭沫若	gmro
革命者	gmve
擀面杖	gmvh
革命性	gmxk
工农兵	gnbk
高难度	gndu
归纳法	gnfa
高内聚	gnjv
姑娘家	gnjx
姑奶奶	gnnd
更年期	gnqi
弓弩手	gnuz
国内外	gnwd
功能性	gnxk
工农业	gnye
狗皮膏	gpgc
搞破坏	gphk
跟屁虫	gpis
公平性	gpxk
高强度	gqdu
搞清楚	gqiu
国庆节	gqjp
过去了	gqle
鬼敲门	gqmf
钢琴曲	gqqu
共青团	gqtr
过去时	gqui
高清晰	gqxi
枸杞子	gqzi
过日子	grzi
钢丝圈	gsqr
甘肃省	gsug
硅酸盐	gsyj
改天吧	gtba
感叹词	gtci
共同点	gtdm
刮台风	gtfg
高碳钢	gtgh
感叹号	gthc
个体户	gthu
国土局	gtjv
光通量	gtll
管他呢	gtne
古铜色	gtse
共同体	gtti
光秃秃	gttu
共同性	gtxk
狗腿子	gtzi
格式化	guhx
过山车	guie
干什么	gume
高水平	gupk
感受器	guqi
高收入	guru
观赏性	guxk
观世音	guyb
高山族	guzu
公众号	gvhc
高质量	gvll
贵州省	gvug
公文包	gwbc
高纬度	gwdu
过五关	gwgr
管委会	gwhv
购物车	gwie
歌舞片	gwpm
个位数	gwuu
公务员	gwyr
国务院	gwyr
冠心病	gxbk
关系到	gxdc
高消费	gxfw
关系户	gxhu
个性化	gxhx
高效率	gxlv
高性能	gxng
感兴趣	gxqu
观象台	gxtd
供销社	gxue
管闲事	gxui
关系网	gxwh
感谢信	gxxb
高血压	gxya
高效益	gxyi
雇佣兵	gybk
高压锅	gygo
工业化	gyhx
公益金	gyjb
冠亚军	gyjy
供应链	gylm
工艺品	gypb
公元前	gyqm
够意思	gysi
更衣室	gyui
公有制	gyvi
广域网	gywh
公益性	gyxk
高压线	gyxm
改一下	gyxx
归因于	gyyv
工作队	gzdv
工作服	gzfu
公子哥	gzge
骨子里	gzli
工作量	gzll
工作日	gzri
高姿态	gztd
工作室	gzui
刽子手	gzuz
工作证	gzvg
高增长	gzvh
归罪于	gzyv
工作组	gzzu
海岸线	haxm
汉堡包	hbbc
黑板擦	hbca
还不错	hbco
还不到	hbdc
恨不得	hbde
荷包蛋	hbdj
好办法	hbfa
还不够	hbgz
好不好	hbhc
会不会	hbhv
环保局	hbjv
划不来	hbld
花不了	hbln
回报率	hblv
还不能	hbng
黑白片	hbpm
回不去	hbqu
还不如	hbru
好半天	hbtm
湖北省	hbug
河北省	hbug
还不止	hbvi
花不完	hbwj
还不行	hbxk
后半夜	hbye
好榜样	hbyh
好多次	hdci
黄赌毒	hddu
活动房	hdfh
划等号	hdhc
鹤顶红	hdhs
好多了	hdle
好多年	hdnm
很多年	hdnm
幻灯片	hdpm
红灯区	hdqu
很多人	hdrf
哈尔滨	hebb
华尔街	hejp
荷尔蒙	hemg
华尔兹	hezi
合法化	hfhx
恢复了	hfle
护肤品	hfpb
挥发物	hfwu
挥发油	hfyz
花骨朵	hgdo
回个话	hghx
化工厂	hgih
花光了	hgle
灰姑娘	hgnl
昏过去	hgqu
回锅肉	hgrz
核苷酸	hgsr
回过头	hgtz
花岗石	hgui
合格证	hgvg
回归线	hgxm
花岗岩	hgyj
还好吧	hhba
黄褐斑	hhbj
黄花菜	hhcd
换行符	hhfu
哈哈哈	hhha
哈哈镜	hhjk
黑胡椒	hhjn
混合器	hhqi
